SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
21030101             FX     RD000001   PA          26-NOV-2007      
21030102             FX     RD000001   PA          26-NOV-2007      
21030103             FX     RD000001   PA          26-NOV-2007      
21030204             FX     RD000001   PA          26-NOV-2007      
21030205             FX     RD000001   PA          26-NOV-2007      
21030306             FX     RD000001   PA          26-NOV-2007      
21040101             XX     RD000010   XX          18-DEC-2007      
21040202             XX     RD000010   XX          18-DEC-2007      
21040303             XX     RD000010   XX          18-DEC-2007      
21040404             XX     RD000010   XX          18-DEC-2007      
21040505             XX     RD000010   XX          18-DEC-2007      
21040606             XX     RD000010   XX          18-DEC-2007      
21040707             XX     RD000010   XX          18-DEC-2007      
21060101             FX     RD000003   PA          27-NOV-2007      
21060102             FX     RD000003   PA          27-NOV-2007      
21060103             FX     RD000003   PA          27-NOV-2007      
21060104             FX     RD000003   PA          27-NOV-2007      
21060105             FX     RD000003   PA          27-NOV-2007      
21060106             FX     RD000003   PA          27-NOV-2007      
21060207             FX     RD000003   PA          27-NOV-2007      
21060208             FX     RD000003   PA          27-NOV-2007      
21060209             FX     RD000003   PA          27-NOV-2007      
21060210             FX     RD000003   PA          27-NOV-2007      
21060211             FX     RD000003   PA          27-NOV-2007      
21060212             FX     RD000003   PA          27-NOV-2007      
21070101             FX     RD000010   ST          30-NOV-2007      
21070102             FX     RD000010   ST          30-NOV-2007      
21070103             FX     RD000010   ST          30-NOV-2007      
21070104             FX     RD000010   ST          30-NOV-2007      
21070105             FX     RD000010   ST          30-NOV-2007      
21070106             FX     RD000010   ST          30-NOV-2007      
21070107             FX     RD000010   ST          30-NOV-2007      
21070108             FX     RD000010   ST          30-NOV-2007      
21070109             FX     RD000010   ST          30-NOV-2007      
21070110             FX     RD000010   ST          30-NOV-2007      
21070111             FX     RD000010   ST          30-NOV-2007      
21070112             FX     RD000010   ST          30-NOV-2007      
21070113             FX     RD000010   ST          30-NOV-2007      
21070114             FX     RD000010   ST          30-NOV-2007      
21070115             FX     RD000010   ST          30-NOV-2007      
21070116             FX     RD000010   ST          30-NOV-2007      
21070117             FX     RD000010   ST          30-NOV-2007      
21070118             FX     RD000010   ST          30-NOV-2007      
21070119             FX     RD000010   ST          30-NOV-2007      
21070120             FX     RD000010   ST          30-NOV-2007      
21100101             FX     RD000001   PA          28-NOV-2007      
21100102             FX     RD000001   PA          28-NOV-2007      
21100203             FX     RD000001   PA          28-NOV-2007      
21120101             XX     RD000001   XX          18-DEC-2007      
21130101             FX     RD000009   PA          28-NOV-2007      
21130202             FX     RD000009   PA          28-NOV-2007      
21130303             FX     RD000009   PA          28-NOV-2007      
21130404             FX     RD000009   PA          28-NOV-2007      
21130405             FX     RD000009   PA          28-NOV-2007      
21130506             FX     RD000009   PA          28-NOV-2007      
21130507             FX     RD000009   PA          28-NOV-2007      
21130608             FX     RD000009   PA          28-NOV-2007      
21130609             FX     RD000009   PA          28-NOV-2007      
21130610             FX     RD000009   PA          28-NOV-2007      
21130611             FX     RD000009   PA          28-NOV-2007      
21130612             FX     RD000009   PA          28-NOV-2007      
21130613             FX     RD000009   PA          28-NOV-2007      
21130614             FX     RD000009   PA          28-NOV-2007      
21130615             FX     RD000009   PA          28-NOV-2007      
21130716             FX     RD000009   PA          28-NOV-2007      
21130717             FX     RD000009   PA          28-NOV-2007      
21130818             FX     RD000009   PA          28-NOV-2007      
21130819             FX     RD000009   PA          28-NOV-2007      
21130820             FX     RD000009   PA          28-NOV-2007      
21130821             FX     RD000009   PA          28-NOV-2007      
21130922             FX     RD000009   PA          28-NOV-2007      
21131023             FX     RD000009   PA          28-NOV-2007      
21140101             FX     RD000002   PA          28-NOV-2007      
21140102             FX     RD000002   PA          28-NOV-2007      
21140103             FX     RD000002   PA          28-NOV-2007      
21140104             FX     RD000002   PA          28-NOV-2007      
21140205             FX     RD000002   PA          28-NOV-2007      
21140206             FX     RD000002   PA          28-NOV-2007      
21170101             XX     RD000003   XX          18-DEC-2007      
21170102             XX     RD000003   XX          18-DEC-2007      
21170103             XX     RD000003   XX          18-DEC-2007      
21170104             XX     RD000003   XX          18-DEC-2007      
21170105             XX     RD000003   XX          18-DEC-2007      
21180101             FX     C3320102   ST          29-NOV-2007      
21180102             FX     C3320103   ST          29-NOV-2007      
21180103             FX     C3320201   ST          29-NOV-2007      
21180104             FX     C3320202   ST          29-NOV-2007      
21180105             FX     C3320204   ST          29-NOV-2007      
21180106             FX     C3320204   ST          29-NOV-2007      
21180107             21     180107     ST          29-NOV-2007      
21180208             FX     C3310104   ST          29-NOV-2007      
21180209             FX     C3310204   ST          29-NOV-2007      
21180210             FX     C3310203   ST          29-NOV-2007      
21180211             FX     C3310202   ST          29-NOV-2007      
21180212             FX     C3310201   ST          29-NOV-2007      
21180213             FX     C3310103   ST          29-NOV-2007      
21180214             FX     C3310102   ST          29-NOV-2007      
21180315             21     210309     ST          30-NOV-2007      
21180316             FX     C3300104   ST          29-NOV-2007      
21180317             FX     C3300201   ST          29-NOV-2007      
21180318             FX     C3300202   ST          29-NOV-2007      
21180319             FX     C3300203   ST          29-NOV-2007      
21180320             FX     C3300204   ST          29-NOV-2007      
21210101             FX     C3130101   ST          30-NOV-2007      
21210202             FX     C3140103   ST          30-NOV-2007      
21210203             FX     C3140102   ST          30-NOV-2007      
